score_band,lower_score,upper_score,validation_count,observed_ace4_rate,observed_mean_ace_count,mean_score
낮은 위험신호,0.0,0.03626067502328814,2330,0.0068669527896995704,0.2716738197424893,0.02347567555920316
주의 위험신호,0.03626067502328814,0.11112505763511783,568,0.02464788732394366,0.5369718309859155,0.06590642078615827
높은 위험신호,0.11112505763511783,0.47524210924582044,602,0.06312292358803986,1.1511627906976745,0.2649306401333293
매우 높은 위험신호,0.47524210924582044,1.0,359,0.23119777158774374,2.1197771587743732,0.7043072726341576
