column,english_description,exclusion_category,reason,dtype,missing_count,missing_pct
swallowing,Difficulty Swallowing Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,334,0.6501
stomach,Difficulty Stomach Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,380,0.7397
physicalpain,Difficulty Physical Pain Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,259,0.5041
hands,Difficulty Hands Past 12 Months,결측치 과다,결측 비율이 50% 이상,float64,37589,73.1659
coordination,Difficulty Coordination Past 12 Months,결측치 과다,결측 비율이 50% 이상,float64,37585,73.1582
toothaches,Difficulty Toothaches Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,362,0.7046
gumbleed,Difficulty Bleeding Gums Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,349,0.6793
cavities,Difficulty Cavities Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,200,0.3893
memorycond,"Serious Difficulty Concentrating, Remembering, or Making Decisions",현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14143,27.529
walkstairs,Serious Difficulty Walking or Climbing Stairs,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14173,27.5873
dressing,Difficulty Dressing or Bathing,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14227,27.6925
errandalone,Difficulty Doing Errands Alone,결측치 과다,결측 비율이 50% 이상,float64,29614,57.6428
k2q43b,Deafness,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,266,0.5178
blindness,Blindness,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,198,0.3854
allergies,Allergies,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,121,0.2355
allergies_curr,Allergies Currently,결측치 과다,결측 비율이 50% 이상,float64,35869,69.818
k2q40a,Asthma,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,446,0.8681
k2q40b,Asthma Currently,결측치 과다,결측 비율이 50% 이상,float64,45839,89.2243
autoimmune,Autoimmune Disease,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,178,0.3465
k2q61a,Cerebral Palsy,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,361,0.7027
diabetes,Diabetes,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,136,0.2647
diabetes_curr,Diabetes Currently,결측치 과다,결측 비율이 50% 이상,float64,51321,99.8949
k2q42a,Epilepsy,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,334,0.6501
k2q42b,Epilepsy Currently,결측치 과다,결측 비율이 50% 이상,float64,50835,98.9489
heart,Heart Condition,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,100,0.1946
heart_born,Heart Born,결측치 과다,결측 비율이 50% 이상,float64,50043,97.4073
heart_curr,Heart Condition Currently,결측치 과다,결측 비율이 50% 이상,float64,50045,97.4112
headache,Headaches,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,166,0.3231
headache_curr,Headaches Currently,결측치 과다,결측 비율이 50% 이상,float64,49388,96.1324
k2q38a,Tourette Syndrome,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,312,0.6073
k2q38b,Tourette Syndrome Currently,결측치 과다,결측 비율이 50% 이상,float64,51195,99.6496
k2q33b,Anxiety Currently,결측치 과다,결측 비율이 50% 이상,float64,44026,85.6954
k2q32b,Depression Currently,결측치 과다,결측 비율이 50% 이상,float64,48154,93.7304
downsyn,Down Syndrome,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,180,0.3504
blood,Blood Disorder,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,223,0.4341
sicklecell,Blood Disorder Sickle Cell,결측치 과다,결측 비율이 50% 이상,float64,51106,99.4764
thalassemia,Blood Disorder Thalassemia,결측치 과다,결측 비율이 50% 이상,float64,51109,99.4822
hemophilia,Blood Disorder Hemophilia,결측치 과다,결측 비율이 50% 이상,float64,51116,99.4959
blood_other,Blood Disorder Other (includes Hemophilia),결측치 과다,결측 비율이 50% 이상,float64,51091,99.4472
blood_screen,Blood Disorder Newborn Screening,결측치 과다,결측 비율이 50% 이상,float64,51082,99.4297
cystfib,Cystic Fibrosis,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,96,0.1869
cystfib_screen,Cystic Fibrosis Newborn Screening,결측치 과다,결측 비율이 50% 이상,float64,51335,99.9221
fasd,Fetal Alcohol Spectrum Disorder (FASD),현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,213,0.4146
k2q34b,Behavior Problems Currently,결측치 과다,결측 비율이 50% 이상,float64,46604,90.7134
k2q36a,Developmental Delay,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,235,0.4574
k2q36b,Developmental Delay Currently,결측치 과다,결측 비율이 50% 이상,float64,47529,92.5139
k2q60a,Intellectual Disability,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,211,0.4107
k2q60b,Intellectual Disability Currently,결측치 과다,결측 비율이 50% 이상,float64,50687,98.6608
k2q37a,Speech Disorder,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,167,0.3251
k2q37b,Speech Disorder Currently,결측치 과다,결측 비율이 50% 이상,float64,46660,90.8224
k2q30a,Learning Disability,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,224,0.436
k2q30b,Learning Disability Currently,결측치 과다,결측 비율이 50% 이상,float64,47249,91.9689
k2q35b,Autism ASD Currently,결측치 과다,결측 비율이 50% 이상,float64,49031,95.4375
autismmed,Autism ASD - Medication Currently,결측치 과다,결측 비율이 50% 이상,float64,49018,95.4122
autismtreat,Autism ASD - Behavioral Treatment,결측치 과다,결측 비율이 50% 이상,float64,49017,95.4102
k2q31b,ADD/ADHD Currently,결측치 과다,결측 비율이 50% 이상,float64,44732,87.0696
k2q31d,ADD/ADHD - Medication Currently,결측치 과다,결측 비율이 50% 이상,float64,44628,86.8672
addtreat,ADD/ADHD - Behavioral Treatment,결측치 과다,결측 비율이 50% 이상,float64,44612,86.836
concussion,Concussion/Brain Injury,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,249,0.4847
seekcare,Concussion/Brain Injury - Seek Care,결측치 과다,결측 비율이 50% 이상,float64,48431,94.2696
confirminjury,Concussion/Brain Injury - Confirmed Injury,결측치 과다,결측 비율이 50% 이상,float64,48809,95.0054
k2q05,Born 3 or More Weeks Before Due Date,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,560,1.09
k6q40,Ever Breastfed,결측치 과다,결측 비율이 50% 이상,float64,37673,73.3294
s4q01,Doctor Visit,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,100,0.1946
docprivate,Child Spoke with Doctor Privately,결측치 과다,결측 비율이 50% 이상,float64,32977,64.1888
overweight,Doctor Identified as Overweight,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,324,0.6307
k6q10,"Asked about Learning, Development, Behavior Concerns",결측치 과다,결측 비율이 50% 이상,float64,37581,73.1504
k6q12,Questionnaire - Development Concerns,결측치 과다,결측 비율이 50% 이상,float64,38796,75.5153
engage_fast,Eating Engagement - Fasting,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14117,27.4783
engage_interest,Eating Engagement - No Interest,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14178,27.5971
engage_picky,Eating Engagement - Picky,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14151,27.5445
engage_binge,Eating Engagement - Binging,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14289,27.8131
engage_purg,Eating Engagement - Purging,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14257,27.7509
engage_pills,Eating Engagement - Pills,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14213,27.6652
engage_exercise,Eating Engagement - Over-Exercise,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14294,27.8229
engage_noeat,Eating Engagement - Not Eating,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14213,27.6652
k4q01,Place Usually Goes Sick,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,217,0.4224
usualgo,Place Usually Goes for Preventive Care,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,418,0.8136
usualsick,Place Usually Goes for Sick Same As Preventive,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,3876,7.5445
visionscreenother,Vision Screening from Other Provider,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,194,0.3776
visionexamrec,Vision Test Recommended ,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,21510,41.8686
eyedoctor,Vision Tested by Eye Doctor,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,240,0.4672
k4q23,Emotions Concentration Behavior Medication,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,959,1.8667
k4q27,Needed Health Care Not Received,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,245,0.4769
notelig,Needed Health Care Not Received Due to - Not Eligible,결측치 과다,결측 비율이 50% 이상,float64,49650,96.6423
available,Needed Health Care Not Received Due to - Not Available,결측치 과다,결측 비율이 50% 이상,float64,49650,96.6423
appointment,Needed Health Care Not Received Due to - Getting Appointment,결측치 과다,결측 비율이 50% 이상,float64,49650,96.6423
