column,english_description,dtype,missing_count,missing_pct
k2q35b,Autism ASD Currently,float64,49031,95.4375
autismmed,Autism ASD - Medication Currently,float64,49018,95.4122
autismtreat,Autism ASD - Behavioral Treatment,float64,49017,95.4102
k2q31a,ADD/ADHD,float64,377,0.7338
k2q31b,ADD/ADHD Currently,float64,44732,87.0696
k2q31d,ADD/ADHD - Medication Currently,float64,44628,86.8672
addtreat,ADD/ADHD - Behavioral Treatment,float64,44612,86.836
concussion,Concussion/Brain Injury,float64,249,0.4847
seekcare,Concussion/Brain Injury - Seek Care,float64,48431,94.2696
confirminjury,Concussion/Brain Injury - Confirmed Injury,float64,48809,95.0054
k2q05,Born 3 or More Weeks Before Due Date,float64,560,1.09
k6q40,Ever Breastfed,float64,37673,73.3294
s4q01,Doctor Visit,float64,100,0.1946
docprivate,Child Spoke with Doctor Privately,float64,32977,64.1888
overweight,Doctor Identified as Overweight,float64,324,0.6307
k6q10,"Asked about Learning, Development, Behavior Concerns",float64,37581,73.1504
k6q12,Questionnaire - Development Concerns,float64,38796,75.5153
engage_fast,Eating Engagement - Fasting,float64,14117,27.4783
engage_interest,Eating Engagement - No Interest,float64,14178,27.5971
engage_picky,Eating Engagement - Picky,float64,14151,27.5445
engage_binge,Eating Engagement - Binging,float64,14289,27.8131
engage_purg,Eating Engagement - Purging,float64,14257,27.7509
engage_pills,Eating Engagement - Pills,float64,14213,27.6652
engage_exercise,Eating Engagement - Over-Exercise,float64,14294,27.8229
engage_noeat,Eating Engagement - Not Eating,float64,14213,27.6652
k4q01,Place Usually Goes Sick,float64,217,0.4224
usualgo,Place Usually Goes for Preventive Care,float64,418,0.8136
usualsick,Place Usually Goes for Sick Same As Preventive,float64,3876,7.5445
visionscreenother,Vision Screening from Other Provider,float64,194,0.3776
visionexamrec,Vision Test Recommended ,float64,21510,41.8686
eyedoctor,Vision Tested by Eye Doctor,float64,240,0.4672
k4q23,Emotions Concentration Behavior Medication,float64,959,1.8667
k4q27,Needed Health Care Not Received,float64,245,0.4769
notelig,Needed Health Care Not Received Due to - Not Eligible,float64,49650,96.6423
available,Needed Health Care Not Received Due to - Not Available,float64,49650,96.6423
appointment,Needed Health Care Not Received Due to - Getting Appointment,float64,49650,96.6423
transportcc,Needed Health Care Not Received Due to - Getting Transportation,float64,49650,96.6423
notopen,Needed Health Care Not Received Due to - Office Not Open,float64,49650,96.6423
issuecost,Needed Health Care Not Received Due to - Cost,float64,49650,96.6423
hospitalstay,Admitted to Hospital,float64,268,0.5217
k6q15,Special Education Plan,float64,204,0.3971
sescurrsvc,Special Education Plan - Currently,float64,42986,83.671
k4q36,Received Special Services,float64,1363,2.653
k4q38,Received Special Services - Currently,float64,41905,81.5669
k5q10,Need a Referral,float64,350,0.6813
decisions_r,Health Care Decisions Needed,float64,7016,13.6564
k5q21,Arrange Or Coordinate Care Extra Help,float64,22695,44.1752
treatchild,Doctors Treat Only Children,float64,29706,57.8219
treatadult,Talked About Child Seeing Doctors Who Treat Adults,float64,37865,73.7032
medhistory,Receive Summary of Medical History,float64,29697,57.8044
writeplan,Doctor Worked with You and Child To Create Written Plan,float64,29717,57.8433
receivecopy,Have Access to Plan of Care,float64,45105,87.7956
healthknow,How Child Will Be Insured as an Adult,float64,29739,57.8861
keepinsadult,How to Obtain/Keep Health Insurance as Child Becomes Adult,float64,43093,83.8793
currcov,Health Insurance Coverage - Currently Covered (Use CURRINS),float64,369,0.7182
k12q03,Health Insurance - Current/Former Employer or Union,float64,3092,6.0185
k12q04,Health Insurance - Insurance Company,float64,3092,6.0185
k12q12,Health Insurance - Government Assistance Plan,float64,3092,6.0185
tricare,Health Insurance - TRICARE,float64,3092,6.0185
k11q03r,Health Insurance - Indian Health Service,float64,3092,6.0185
hccovoth,Health Insurance - Other,float64,3092,6.0185
k3q25,Problems Paying for Medical or Health Care,float64,12413,24.1616
stopwork,Past 12 Months - Stopped Working because of Health Status,float64,566,1.1017
cuthours,Past 12 Months -Cut Hours because of Health Conditions,float64,690,1.3431
avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance,float64,663,1.2905
oneword,Say One Word,float64,39257,76.4127
twowords,Use Two Words Together,float64,39257,76.4127
threewords,Use Three Words Together,float64,39257,76.4127
askquestion,"Ask Questions: Who, What, When, Where",float64,39257,76.4127
askquestion2,"Ask Questions:  Why, How",float64,39257,76.4127
tellstory,Tell a Story,float64,39257,76.4127
understand,Understand 'No',float64,39257,76.4127
directions,Follow Verbal Directions,float64,39257,76.4127
point,Point to Things,float64,39257,76.4127
directions2,Follow Two Step Directions,float64,39257,76.4127
understand2,"Understand 'In', 'On', 'Under'",float64,39257,76.4127
repeated,Child Repeated Any Grades,float64,14577,28.3737
k7q30,Sports Team or Sports Lessons - Past 12 Months,float64,14393,28.0156
k7q31,Clubs or Organizations - Past 12 Months,float64,14579,28.3776
k7q32,Organized Activities or Lessons - Past 12 Months,float64,14622,28.4613
k7q37,Community Service or Volunteer Work - Past 12 Months,float64,14568,28.3562
k7q38,Paid Work or Regular Job - Past 12 Months,float64,14634,28.4847
bornusa,Born in the United States,float64,390,0.7591
k8q35,Someone to Turn To for Emotional Support,float64,1121,2.182
k6q27,Job Change Because Problems with Child Care,float64,37799,73.5747
k9q40,Anyone in Household Use Cigarettes,float64,1018,1.9815
k9q41,Anyone Smoke Inside of Home,float64,46460,90.4331
vape,Vape/E-Cigarettes inside of Home,float64,1108,2.1567
