column,korean_name,domain,response_code,low_count,high_count,low_rate,high_rate,difference_pp
family_r,가족 형태,가족 환경,1.0,13384,80,0.7217818044545111,0.10512483574244415,-61.6656968712067
family_r,가족 형태,가족 환경,2.0,744,24,0.04012295745025077,0.03153745072273324,-0.8585506727517525
family_r,가족 형태,가족 환경,3.0,436,62,0.023512915925146954,0.08147174770039421,5.7958831775247255
family_r,가족 형태,가족 환경,4.0,252,39,0.013590033975084938,0.051248357424441525,3.7658323449356588
family_r,가족 형태,가족 환경,5.0,2406,294,0.12975246723831096,0.38633377135348224,25.658130411517128
family_r,가족 형태,가족 환경,6.0,795,73,0.042873321469017955,0.09592641261498029,5.305309114596233
family_r,가족 형태,가족 환경,7.0,359,134,0.019360405543871,0.17608409986859397,15.672369432472296
family_r,가족 형태,가족 환경,8.0,85,53,0.00458394003127865,0.06964520367936924,6.506126364809059
a2_relation,두 번째 보호자와 아이의 관계,가족 환경,1.0,14964,200,0.8069891603300436,0.2628120893561104,-54.41770709739333
a2_relation,두 번째 보호자와 아이의 관계,가족 환경,2.0,476,68,0.025670064175160438,0.08935611038107753,6.36860462059171
a2_relation,두 번째 보호자와 아이의 관계,가족 환경,3.0,477,108,0.025723992881410775,0.14191852825229961,11.619453537088884
a2_relation,두 번째 보호자와 아이의 관계,가족 환경,4.0,11,15,0.0005932157687537076,0.01971090670170828,1.9117690932954572
a2_relation,두 번째 보호자와 아이의 관계,가족 환경,6.0,113,29,0.006093943806288087,0.03810775295663601,3.201380915034792
a2_relation,두 번째 보호자와 아이의 관계,가족 환경,7.0,116,28,0.006255729925039098,0.03679369250985545,3.0537962584816354
a2_relation,두 번째 보호자와 아이의 관계,가족 환경,8.0,2255,307,0.12160923259451006,0.40341655716162944,28.180732456711937
everhomeless,거주지 없이 지낸 경험,주거 안정,1.0,207,170,0.01116324219381977,0.2233902759526938,21.222703375887402
everhomeless,거주지 없이 지낸 경험,주거 안정,2.0,18203,566,0.9816642398748854,0.7437582128777924,-23.790602699709297
everhomeless,거주지 없이 지낸 경험,주거 안정,3.0,51,21,0.0027503640187671896,0.02759526938239159,2.48449053636244
a1_relation,주 보호자와 아이의 관계,가족 환경,1.0,17192,476,0.9271423178557946,0.6254927726675427,-30.164954518825194
a1_relation,주 보호자와 아이의 관계,가족 환경,2.0,223,33,0.012026101493825164,0.04336399474375821,3.1337893249933044
a1_relation,주 보호자와 아이의 관계,가족 환경,3.0,869,183,0.0468640457315429,0.240473061760841,19.360901602929808
a1_relation,주 보호자와 아이의 관계,가족 환경,4.0,18,21,0.000970716712506067,0.02759526938239159,2.662455266988552
a1_relation,주 보호자와 아이의 관계,가족 환경,6.0,144,35,0.007765733700048536,0.045992115637319315,3.822638193727078
a1_relation,주 보호자와 아이의 관계,가족 환경,7.0,31,11,0.0016717898937604486,0.01445466491458607,1.2782875020825621
a1_marital,주 보호자의 혼인 상태,가족 환경,1.0,14780,289,0.7970662783799817,0.3797634691195795,-41.73028092604022
a1_marital,주 보호자의 혼인 상태,가족 환경,2.0,890,59,0.04799654856279998,0.07752956636005257,2.9533017797252583
a1_marital,주 보호자의 혼인 상태,가족 환경,3.0,941,141,0.05074691258156717,0.18528252299605782,13.453561041449067
a1_marital,주 보호자의 혼인 상태,가족 환경,4.0,1215,184,0.06552337809415952,0.24178712220762155,17.6263744113462
a1_marital,주 보호자의 혼인 상태,가족 환경,5.0,334,48,0.018012187887612576,0.06307490144546649,4.50627135578539
a1_marital,주 보호자의 혼인 상태,가족 환경,6.0,248,32,0.013374319150083589,0.04204993429697766,2.8675615146894073
foodsit,최근 12개월 가구 식품 상황,경제,1.0,13220,256,0.7129374966294558,0.3363994743758213,-37.65380222536345
foodsit,최근 12개월 가구 식품 상황,경제,2.0,4662,351,0.25141562853907135,0.4612352168199737,20.981958828090235
foodsit,최근 12개월 가구 식품 상황,경제,3.0,523,127,0.028204713368926278,0.16688567674113008,13.868096337220381
