score_band,lower_score,upper_score,validation_count,observed_ace4_rate,observed_mean_ace_count,mean_score
낮은 위험신호,0.0,25.0,1200,0.0016666666666666668,0.0825,15.56102617258357
주의 위험신호,25.0,50.0,790,0.0012658227848101266,0.1810126582278481,41.34490800725576
높은 위험신호,50.0,75.0,904,0.014380530973451327,0.5674778761061947,63.293599378077225
매우 높은 위험신호,75.0,100.0,965,0.13989637305699482,1.6963730569948186,87.50971754340503
