score_band,lower_score,upper_score,validation_count,observed_ace4_rate,observed_mean_ace_count,mean_score
낮은 위험신호,0.0,25.0,3199,0.015004688965301657,0.38293216630196936,4.060129321302407
주의 위험신호,25.0,51.000000000000014,438,0.10730593607305935,1.4269406392694064,42.66170581738726
높은 위험신호,51.000000000000014,55.73894166551589,111,0.16216216216216217,2.0720720720720722,52.87539816540699
매우 높은 위험신호,55.73894166551589,100.0,111,0.34234234234234234,2.810810810810811,62.31280162343371
