screen_rank,column,domain,nonmissing_count,missing_rate,category_count,test_method,chi_square,p_value,effect_size,rf_importance,effect_rank,rf_rank,combined_rank,significant_0_05
38,k7q82_r,학교·사회생활,8694,0.24928762628443135,4,카이제곱 검정 / Cramér's V,118.82387760322747,1.382689375889479e-25,0.11690741088351868,0.005165524150274723,44.0,40.0,84.0,True
39,a2_grade,가족·가구,9906,0.14463345134271655,9,카이제곱 검정 / Cramér's V,159.16898068074636,2.3861645327272535e-30,0.12675936522718528,0.004753088354187118,36.0,48.0,84.0,True
40,k2q32a,건강·의료 관련,11523,0.005008203091270147,2,카이제곱 검정 / Cramér's V,345.7051105526281,3.65114367350761e-77,0.17320886622347384,0.003607359406267514,15.0,70.0,85.0,True
41,tenure,가족·가구,11581,0.0,4,카이제곱 검정 / Cramér's V,144.800847823984,3.484895879001753e-31,0.11181820634640824,0.00560967096183103,50.0,37.0,87.0,True
42,c4q04,기타 설문 항목,11539,0.003626629824712846,4,카이제곱 검정 / Cramér's V,168.32087718118157,2.931922789194064e-36,0.12077718585491769,0.004830081914969091,43.0,46.0,89.0,True
43,k2q31a,건강·의료 관련,11506,0.006476124686987328,2,카이제곱 검정 / Cramér's V,173.47705228220076,1.287619056909869e-39,0.12278882179461242,0.004702881888869931,40.0,50.0,90.0,True
44,screentime,생활습관,11543,0.0032812365080735484,5,카이제곱 검정 / Cramér's V,102.46275735770095,2.9405355141278683e-21,0.09421578513936739,0.006277662665949023,64.0,29.0,93.0,True
45,k7q84_r,학교·사회생활,8699,0.24885588463863229,4,카이제곱 검정 / Cramér's V,109.69700172146585,1.275094717016505e-23,0.11229559311201445,0.004850923976779115,49.0,44.0,93.0,True
46,k7q70_r,학교·사회생활,8706,0.24825144633451346,4,카이제곱 검정 / Cramér's V,111.90601697571694,4.266916122586541e-24,0.11337502289387283,0.0048065637960825495,46.0,47.0,93.0,True
47,k8q32,학교·사회생활,11539,0.003626629824712846,5,카이제곱 검정 / Cramér's V,111.35688256702059,3.7374732051712905e-23,0.09823685391321664,0.005752103608448974,60.0,34.0,94.0,True
48,k2q01_d,건강·의료 관련,11559,0.0018996632415162473,6,카이제곱 검정 / Cramér's V,122.36494995241966,9.901396036752704e-25,0.10288886741199589,0.005200335629470955,55.0,39.0,94.0,True
49,sugardrink,생활습관,11529,0.004490113116311201,6,카이제곱 검정 / Cramér's V,118.18547111513487,7.60313396337119e-24,0.10124794699316143,0.0049769449105186055,56.0,43.0,99.0,True
50,k4q23,건강·의료 관련,11425,0.013470339348933602,2,카이제곱 검정 / Cramér's V,153.72131756022708,2.6646020596313306e-35,0.11599491332702554,0.004461325812530956,45.0,54.0,99.0,True
51,k3q25,기타 설문 항목,8763,0.24332959157240308,2,카이제곱 검정 / Cramér's V,103.2389583423915,2.9706665771645077e-24,0.10854139554935846,0.004677557373370264,51.0,52.0,103.0,True
