score_band,lower_score,upper_score,validation_count,observed_asd_rate,mean_score
낮은 점수 구간,0.0,0.17578060739823512,2687,0.00446594715295869,0.14438434637150888
중간-낮은 점수 구간,0.17578060739823512,0.23056304020158497,2424,0.015264026402640265,0.20152317013535279
중간-높은 점수 구간,0.23056304020158497,0.38351539054170436,2555,0.018003913894324854,0.28830837370038775
높은 점수 구간,0.38351539054170436,1.0,2556,0.13732394366197184,0.671198149125037
